,News,Category
10,နေပြည်တော်_အလုပ်သမား_ညွှန်ကြားရေးဦးစီးဌာန_က_ဒုတိယညွှန်ကြားရေးမှူး_ချုပ်_ဦးအောင်ဌေး_ဝင်း_နဲ့_အဖွဲ့_ဟာ_နေ့_အပူချိန်_ပြင်း_တာ_ကြောင့်_ဆန္ဒပြ_အလုပ်သမား_တွေ_ရဲ့_ကျန်းမာရေး_ကို_စိုးရိမ်_တဲ့_အတွက်_သပိတ်_ကို_ရပ်နား_ပြီး_ခုံသမာဓိ_ကောင်စီ_ရဲ့_ဆုံးဖြတ်ချက်_ကို_ခံယူ_ဖို့_သွားရောက်_ပြောကြား_ခဲ့_တာ_ဖြစ်ပါတယ်_လာ_မယ့်_မေလ_၂_ရက်နေ့_မှာ_ခုံသမာဓိ_ကောင်စီ_ကစစ်_ဆေးဆုံး_ဖြတ်_ပေး_မှာ_ဖြစ်ပါတယ်_။_,Politics
11,စက်ရုံ_မှာ_လုပ်သက်_အလိုက်_ကျွမ်းကျင်_ကြေး_လုပ်သက်_ခံစားခွင့်_ရက်မှန်ကြေး_၊_စားစရိတ်_နေစရိတ်_အကြို_အပို့_စရိတ်_တွေ_ကို_ခံစားခွင့်_ရ_ရှိမယ်_ဆို_တဲ့_သဘောတူညီချက်_တွေ_ကို_အလုပ်ရှင်_ဘက်_က_ဖေါက်ဖျက်_တဲ့_အတွက်_အလုပ်သမား_တွေ_က_ဆန္ဒပြ_တောင်းဆို_ကြ_ရာ_အလုပ်ရှင်_က_အလုပ်သမား_၁၇၀_နီးပါး_ကို_၃_ကြိမ်_ခွဲ_ပြီး_အလုပ်_က_နေ_ထုတ်ပယ်_လိုက်_တာ_ဖြစ်ပါတယ်_။_,Politics
12,အဲ့ဒီ_စက်ရုံ_ဟာ_အိန္ဒိယ_နိုင်ငံသားပိုင်_တဲ့_စက်ရုံ_ဖြစ်ပြီး_အလုပ်သမား_၂_ဝ_၀_ကျော်_နဲ့_လည်ပတ်_နေ_တာ_ဖြစ်ပါတယ်_။_,Politics
13,ဒေါ်အောင်ဆန်းစုကြည်_နှင့်_စစ်_ဗိုလ်ချုပ်_များ_အဆင်ပြေ_သော_မဟာမိတ်ဖွဲ့_။_,Politics
14,မြန်မာနိုင်ငံ_တွင်_ဒေါ်အောင်ဆန်းစုကြည်_ဦးဆောင်_သော_ဒီမိုကရေစီ_အစိုးရ_သစ်_အာဏာ_ရရှိ_သည့်_အချိန်ကာလ_မှာ_ရက်_ပေါင်း_၅၀_မျှ_သာ_ရှိသေးသည်_။_,Politics
15,သို့ရာတွင်_မြန်မာ့_နိုင်ငံရေး_အကဲခတ်_အများစု_သည်_အစိုးရ_သစ်_၏_ပြုပြင်_ပြောင်းလဲမှု_နှေးကွေး_ခြင်း_ကတိပျက်_ကွက်_ခြင်း_မျှော်လင့်_မ_ထား_သော_ရာထူး_ခန့်အပ်_ခြင်း_တို့_ကို_အပြစ်ရှာ_နေ_ကြ_ပြီ_ဖြစ်သည်_အချို့_က_လည်း_ဒေါ်အောင်ဆန်းစုကြည်_သည်_တိုင်းပြည်_တွင်_သြဇာ_ကြီး_နေ_ဆဲ_တပ်မတော်_ကို_ဆန့်ကျင်_နေသည်_ဟု_ပင်_ဆို_ကြ_သည်_။_,Politics
16,အဆိုပါ_မှတ်ချက်_များသည်_အမှန်တရား_နှင့်_အ_ဟပ်_မ_ကွာ_လှ_ဟု_စစ်ဗိုလ်ဟောင်း_များ_နှင့်_မြန်မာ_စစ်ရေး_အကဲခတ်_များ_က_ဆို_ကြ_သည်_ဒေါ်အောင်ဆန်းစုကြည်_နှင့်_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_တို့_အကြား_မှ_ဆက်ဆံရေး_သည်_ယိုင်_နဲ့_နေ_ဆဲ_ဖြစ်_သော်လည်း_၎င်း_အချက်_ကို_အားလုံး_က_မျှော်လင့်_ထား_ပြီး_သား_ဖြစ်သည်_အစိုးရ_တာဝန်_ကို_လွှဲပြောင်း_ပေး_ပြီး_ဖြစ်_သော်လည်း_အာဏာ_ကူးပြောင်း_မှု_မှာ_မူ_အလွတ်သဘော_ညှိနှိုင်း_နေ_ဆဲ_အဆင့်_တွင်_သာ_ရှိသေးသည်_အမှန်စင်စစ်_နှစ်_ဖက်_စလုံး_သည်_ခေတ်သစ်_စနစ်သစ်_တွင်_အတူယှဉ်တွဲ_ရပ်တည်ရေး_ကို_ဂရုတစိုက်_စမ်းသပ်_နေ_ကြ_ခြင်း_ဖြစ်သည်_။_,Politics
17,အမည်_မ_ဖော်_လို_သော_တပ်မတော်_အရာရှိဟောင်း_တစ်ဦး_က_အခု_အချိန်_အထိ_အကန့်အသတ်_နဲ့_တွေ့ဆုံ_နေ_ကြ_တဲ့_နှစ်_ဖက်အုပ်_စု_အ_ကြားမှာ_ယုံကြည်မှု_တည်ဆောက်_ရ_ဦး_မှာ_ဖြစ်ပါတယ်_လောလောဆယ်_အထိ_တော့_အခြေအနေ_ကောင်း_ပါ_တယ်_ဒါပေမဲ့_အချိန်_ယူ_ရ_ဦး_မယ်_၂_နှစ်_လောက်_ကြာ_နိုင်_တယ်_ဟု_မှတ်ချက်_ပေးသည်_အာဏာ_ရ_အစိုးရ_သစ်_၏_လတ်တလော_ဥပဒေ_ပြဋ္ဌာန်းမှု_များ_ကို_လွှတ်တော်_တွင်_တပ်မတော်_ကိုယ်စားလှယ်_များ_က_ကန့်ကွက်_နေ_သည့်_တိုင်အောင်_ဒေါ်အောင်ဆန်းစုကြည်_၏_သတိ_ကြီး_ကြီး_ဂရုတစိုက်_ချဉ်းကပ်_မှု_ကို_တပ်မတော်_အသိုင်းအဝိုင်း_က_ကောင်း_စွာ_လက်သင့်ခံ_ကြ_သည်_ဟု_တပ်မတော်_အရာရှိဟောင်း_များ_အပါအဝင်_နီးစပ်သူ_များ_က_ယုံကြည်_ကြ_သည်_။_,Politics
18,ပြီးခဲ့သည့်_သောကြာနေ့_က_နေပြည်တော်_တွင်_သတင်းထောက်_များ_နှင့်_တွေ့ဆုံ_ခဲ့_သော_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_က_တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်_ဟာ_သမ္မတ_ရဲ့_လက်အောက်_မှာ_ရှိပါတယ်_အများ_ယူဆ_နေ_သလို_မဟုတ်_ဘဲ_အစိုးရ_သစ်_နဲ့_ကျွန်တော်_တို့_အတူတကွ_ပူးပေါင်း_လုပ်ဆောင်_နေ_ပါ_တယ်_ဟု_ပြောကြား_သည်_။_,Politics
19,အစိုးရ_သည်_ကာကွယ်ရေးဦးစီးချုပ်_၏_အထက်_တွင်_သမ္မတ_နှင့်_နိုင်ငံတော်_အတိုင်ပင်ခံ_ပုဂ္ဂိုလ်_တို့_ကို_ထားရှိ_သော_အဆင့်_သတ်မှတ်ချက်_စာရင်း_ကို_မ_ကြာ_သေး_မီ_က_ထုတ်ပြန်_ခဲ့_သည်_။_,Politics
20,၎င်း_သတ်မှတ်ချက်_သည်_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_နှင့်_တွေ့ဆုံ_ရာတွင်_ထိုးနှက်_မှု_တစ်_ခု_ဟု_အကဲခတ်_များ_က_ယူဆ_ကြ_သော်လည်း_ဘောင်ဝင်_သော_အမှန်တရား_ဖြစ်_သောကြောင့်_လက်ခံ_ကြ_သည်_ဟု_တပ်မတော်_ခေါင်းဆောင်_ပိုင်း_နှင့်_နီးစပ်_သော_သတင်း_ဇာစ်မြစ်_များ_က_ဆိုသည်_။_,Politics
21,အစိုးရ_သစ်_ကို_လေ_ဒီ_က_ဦးဆောင်_နေ_တယ်_ဆို_တာကို_ကျွန်တော်_တို့_အားလုံး_သိရှိ_လက်_ခံထား_ပြီး_သား_ပါ_ဒါ_က_တရားဝင်_ဖြစ်_အောင်_လုပ်_တဲ့_သဘော_ပါ_ဟု_တပ်မတော်_အရာရှိဟောင်း_တစ်ဦး_က_ဘန်ကောက်_ပို့စ်_သို့_ပြောကြား_သည်_။_,Politics
22,ဒေါ်အောင်ဆန်းစုကြည်_နှင့်_ပါတီ_သည်_မတ်လ_ကုန်_တွင်_အာဏာ_လွှဲပြောင်း_ရယူ_သောအခါ_ထင်_ထားသည်_ထက်_ပိုမို_ကြီးမားသော_အလုပ်တာဝန်_ကို_ရင်ဆိုင်_ကြ_ရ_သည်_အစိုးရ_သစ်_သည်_ပြည်သူ_တို့_မျှော်လင့်_ထား_သော_အမြစ်_လှန်_ပြုပြင်_ပြောင်းလဲမှု_များ_ကို_ခွင့်_မ_ပြု_သေး_ဘဲ_အထူး_သတိထား_သည့်_။_,Politics
23,လမ်းကြောင်း_ကို_သာ_ရွေးချယ်_ခဲ့_သည်_ဒေါ်အောင်ဆန်းစုကြည်_သည်_၎င်း_မဟာဗျူဟာ_ဖြင့်_တပ်မတော်_ခေါင်းဆောင်_များ_ကို_နှိုးဆွ_ခြင်း_မ_ပြု_ပဲ_ချွေးသိပ်_ထား_ရန်_လုပ်ဆောင်_နိုင်_ခဲ့_သည်_။_,Politics
24,တရားဝင်_အာဏာ_လွှဲ_ပြောင်းခြင်း_မ_ပြု_မီ_ဆက်သွယ်_ဆောင်ရွက်_မှု_အလွဲ_နှင့်_နားလည်မှု_အလွဲ_ဖြစ်ရပ်_များစွာ_ရှိ_ခဲ့_သည်_ဟု_၎င်း_လုပ်ငန်းစဉ်_နှင့်_နီးစပ်_သော_ဇာစ်မြစ်_များ_က_ပြောကြား_သည်_သူမ_အနေ_နှင့်_ကာကွယ်ရေးဦးစီးချုပ်_နှင့်_တိုက်ရိုက်_ဆွေးနွေး_သင့်_ပြီး_အပြောင်းအလဲ_နှင့်_ရာထူး_ခန့်အပ်_မှု_အားလုံး_ကို_အသိပေး_သင့်_သည့်_အပြင်_တပ်မတော်_နှင့်_ကိုယ်စားလှယ်အဖွဲ့_ကို_တရားဝင်_လေးစား_မှု_ပြသ_သင့်_သည်_ဟု_ညှိနှိုင်း_ဆွေးနွေးပွဲ_များ_နှင့်_နီးစပ်_သော_အကြီးတန်း_အစိုးရ_တာဝန်ရှိသူ_တစ်ဦး_က_ပြောကြား_ခဲ့_သည်_ယင်း_အကြံဉာဏ်_ကို_ဒေါ်အောင်ဆန်းစုကြည်_က_လည်း_အလေးထား_ခဲ့_ပုံ_ရ_သည်_။_,Politics
25,ထို့_နောက်တွင်_ဆက်သွယ်_ဆောင်ရွက်_မှု_နှင့်_ပူးပေါင်းဆောင်ရွက်မှု_လမ်းကြောင်း_များ_ခိုင်ခိုင်မာမာ_ထွက်ပေါ်_လာ_ခဲ့_သည်_တာဝန်_လွှဲပြောင်း_မှု_အခမ်းအနား_နှင့်_ဂုဏ်ပြု_ညစာစားပွဲ_တွင်_ပြဿနာ_အချို့_ရှိ_ခဲ့_သော်လည်း_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_က_၎င်း_အနေ_နှင့်_သမ္မတ_ကြီး_နှင့်_သာ_ဆွေးနွေး_မှု_ပြုလုပ်_သွား_မည်_ဟု_ရှင်းလင်း_ပြောဆို_ခဲ့_သည်_။_,Politics
26,အစိုးရ_ဖွဲ့စည်း_ပြီး_နောက်တွင်_ကာကွယ်ရေးဦးစီးချုပ်_ထံမှ_၎င်း_အကြောင်းကြား_စာ_ကို_ပြည်ထဲရေး_ဝန်ကြီး_က_သမ္မတ_ကြီး_ထံ_ပေးပို့_ခဲ့_သည်_ဟု_သတင်း_အချို့_က_ဆိုသည်_၎င်း_အ_ချက်သည်_တပ်မတော်_က_ပူးပေါင်းဆောင်ရွက်_ခြင်း_မ_ပြု_သော_သဘောထား_ကို_ချမှတ်_သည်_ဟု_ဆိုလို_ခြင်း_မဟုတ်_သော်လည်း_အမှန်_တကယ်_တွင်_ဆန့်ကျင်_ရပ်တည်_မှု_သည်_အမှန်_ဟု_ဆို_ကြ_သည်_။_,Politics
27,တပ်မတော်_မှ_ဝန်ကြီး_သုံး_ဦး_ဖြစ်_ကြ_သော_ဒုတိယဗိုလ်ချုပ်ကြီး_စိန်_ဝင်း_ကာကွယ်ရေး_ဒုတိယဗိုလ်ချုပ်ကြီး_ရဲ_အောင်_နယ်စပ်_ရေးရာ_ဒုတိယဗိုလ်ချုပ်ကြီး_ကျော်_ဆွေ_ပြည်ထဲရေး_တို့သည်_နိုင်ငံတော်_အတိုင်ပင်ခံ_ပုဂ္ဂိုလ်_ဖြစ်_သူ_ဒေါ်အောင်ဆန်းစုကြည်_နှင့်_ဆက်ဆံရေး_ကောင်းမွန်_သူများ_ဖြစ်_ကြ_သည်_။_,Politics
